469,Al Horford,204,/players/h/horfoal01.html,24,77,77,35.1,6.7,12.0,.557,0.0,0.1,.500,6.6,11.9,.557,.558,1.9,2.4,.798,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5,15.3
470,Josh Smith,204,/players/s/smithjo03.html,25,77,77,34.4,6.5,13.5,.477,0.7,2.0,.331,5.8,11.5,.503,.502,3.0,4.1,.725,1.7,6.8,8.5,3.3,1.3,1.6,2.6,2.8,16.5
471,Jamal Crawford,204,/players/c/crawfja01.html,30,76,0,30.2,4.8,11.5,.421,1.6,4.6,.341,3.3,6.9,.474,.489,2.9,3.4,.854,0.3,1.4,1.7,3.2,0.8,0.2,1.9,1.3,14.2
472,Mike Bibby,204,/players/b/bibbymi01.html,32,56,56,29.9,3.4,7.9,.435,2.0,4.6,.441,1.4,3.3,.427,.563,0.5,0.8,.630,0.3,2.3,2.6,3.6,0.7,0.1,1.2,2.2,9.4
473,Marvin Williams,204,/players/w/willima02.html,24,65,52,28.7,3.8,8.3,.458,0.6,1.7,.336,3.2,6.6,.489,.493,2.3,2.7,.845,1.0,3.8,4.8,1.4,0.5,0.4,1.0,1.6,10.4
474,Kirk Hinrich,204,/players/h/hinriki01.html,30,24,22,28.6,3.3,7.7,.432,1.3,3.2,.421,2.0,4.5,.440,.519,0.6,0.9,.667,0.3,1.9,2.2,3.3,0.8,0.3,1.5,2.8,8.6
475,Maurice Evans,204,/players/e/evansma01.html,32,47,12,17.8,1.7,4.3,.393,0.6,1.9,.315,1.1,2.4,.455,.463,0.5,0.6,.857,0.5,1.3,1.8,0.6,0.3,0.1,0.3,1.6,4.5
476,Zaza Pachulia,204,/players/p/pachuza01.html,26,79,7,15.7,1.4,2.9,.461,0.0,0.0,,1.4,2.9,.461,.461,1.7,2.3,.754,1.5,2.7,4.2,0.7,0.4,0.3,0.9,2.3,4.4
477,Jeff Teague,204,/players/t/teaguje01.html,22,70,7,13.8,1.9,4.3,.438,0.3,0.7,.375,1.6,3.7,.449,.467,1.1,1.4,.794,0.2,1.3,1.5,2.0,0.6,0.4,0.9,1.2,5.2
478,Damien Wilkins,204,/players/w/wilkida02.html,31,52,0,13.0,1.3,2.6,.504,0.0,0.2,.200,1.3,2.4,.528,.511,0.8,1.1,.714,0.4,1.3,1.7,0.8,0.5,0.2,0.4,1.4,3.5
479,Jason Collins,204,/players/c/collija04.html,32,49,28,12.1,0.7,1.4,.479,0.0,0.0,1.000,0.7,1.4,.471,.486,0.6,0.8,.659,0.6,1.5,2.1,0.4,0.2,0.2,0.5,2.0,2.0
480,Josh Powell,204,/players/p/poweljo01.html,28,54,0,12.1,1.7,3.9,.452,0.0,0.0,.000,1.7,3.8,.454,.452,0.7,0.8,.800,0.9,1.6,2.5,0.4,0.1,0.1,1.0,1.4,4.1
481,Jordan Crawford,204,/players/c/crawfjo02.html,22,16,0,10.0,1.7,4.8,.351,0.6,1.7,.333,1.1,3.1,.360,.409,0.3,0.4,.667,0.6,1.2,1.8,0.9,0.2,0.0,0.9,0.8,4.2
482,Pape Sy,204,/players/s/sypa01.html,22,3,0,7.0,0.7,2.0,.333,0.0,0.3,.000,0.7,1.7,.400,.333,1.0,1.0,1.000,0.7,0.3,1.0,0.7,0.3,0.0,1.0,0.3,2.3
483,Etan Thomas,204,/players/t/thomaet01.html,32,13,0,6.3,0.8,1.6,.476,0.0,0.0,,0.8,1.6,.476,.476,0.9,1.2,.800,0.5,1.3,1.8,0.2,0.1,0.3,0.4,0.8,2.5
484,Hilton Armstrong,204,/players/a/armsthi01.html,26,12,0,6.3,0.5,1.0,.500,0.1,0.1,1.000,0.4,0.9,.455,.542,0.2,0.8,.200,0.3,1.2,1.4,0.3,0.3,0.4,0.3,0.8,1.3
485,Joe Johnson,205,/players/j/johnsjo02.html,28,76,76,38.0,8.4,18.2,.458,1.7,4.6,.369,6.7,13.6,.488,.505,2.9,3.5,.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3
486,Josh Smith,205,/players/s/smithjo03.html,24,81,81,35.4,6.2,12.3,.505,0.0,0.1,.000,6.2,12.2,.508,.505,3.2,5.2,.618,2.8,6.0,8.7,4.2,1.6,2.1,2.4,3.0,15.7
487,Al Horford,205,/players/h/horfoal01.html,23,81,81,35.1,5.8,10.5,.551,0.0,0.0,1.000,5.8,10.4,.551,.552,2.6,3.3,.789,2.9,7.0,9.9,2.3,0.7,1.1,1.5,2.8,14.2
488,Jamal Crawford,205,/players/c/crawfja01.html,29,79,0,31.1,6.3,14.0,.449,2.1,5.4,.382,4.2,8.6,.491,.523,3.4,4.0,.857,0.4,2.1,2.5,3.0,0.8,0.2,1.7,1.7,18.0
489,Marvin Williams,205,/players/w/willima02.html,23,81,81,30.5,3.7,8.2,.455,0.5,1.6,.303,3.2,6.6,.492,.485,2.2,2.7,.819,1.3,3.8,5.1,1.1,0.8,0.6,0.9,2.0,10.1
490,Mike Bibby,205,/players/b/bibbymi01.html,31,80,80,27.4,3.4,8.1,.416,1.6,4.1,.389,1.8,4.0,.444,.514,0.9,1.0,.861,0.3,2.1,2.3,3.9,0.8,0.0,1.1,2.0,9.1
491,Maurice Evans,205,/players/e/evansma01.html,31,79,5,16.7,2.2,5.0,.445,0.7,2.1,.337,1.5,2.8,.527,.518,0.6,0.8,.754,0.7,1.2,1.9,0.6,0.4,0.2,0.3,1.6,5.7
492,Zaza Pachulia,205,/players/p/pachuza01.html,25,78,1,14.0,1.5,3.2,.488,0.0,0.1,.000,1.5,3.1,.496,.488,1.2,1.8,.650,1.5,2.3,3.8,0.5,0.5,0.4,0.7,2.4,4.3
493,Jeff Teague,205,/players/t/teaguje01.html,21,71,3,10.1,1.3,3.2,.396,0.1,0.5,.219,1.2,2.7,.426,.412,0.6,0.7,.837,0.1,0.9,0.9,1.7,0.5,0.2,0.7,1.2,3.2
494,Joe Smith,205,/players/s/smithjo02.html,34,64,1,9.3,1.2,3.0,.399,0.0,0.1,.143,1.2,2.9,.409,.402,0.6,0.8,.813,1.0,1.4,2.5,0.3,0.1,0.3,0.3,1.5,3.0
495,Jason Collins,205,/players/c/collija04.html,31,24,0,4.8,0.3,1.0,.348,0.0,0.0,.000,0.3,0.9,.364,.348,0.0,0.1,.000,0.2,0.4,0.6,0.2,0.1,0.1,0.2,0.9,0.7
496,Othello Hunter,205,/players/h/hunteot01.html,23,7,0,4.7,0.6,1.7,.333,0.0,0.0,,0.6,1.7,.333,.333,0.4,0.6,.750,0.9,0.9,1.7,0.0,0.0,0.1,0.4,0.7,1.6
497,Randolph Morris,205,/players/m/morrira01.html,24,28,0,4.4,0.8,1.5,.561,0.0,0.0,,0.8,1.5,.561,.561,0.6,1.0,.593,0.4,1.0,1.4,0.1,0.2,0.1,0.4,1.2,2.2
498,Mario West,205,/players/w/westma02.html,25,39,1,3.6,0.3,0.5,.571,0.0,0.0,.000,0.3,0.5,.600,.571,0.2,0.3,.600,0.2,0.5,0.7,0.2,0.2,0.0,0.2,0.6,0.8
499,Joe Johnson,206,/players/j/johnsjo02.html,27,79,79,39.5,7.8,18.0,.437,1.9,5.2,.360,6.0,12.7,.468,.489,3.8,4.6,.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4
500,Josh Smith,206,/players/s/smithjo03.html,23,69,69,35.1,6.1,12.3,.492,0.4,1.3,.299,5.7,11.0,.514,.508,3.1,5.2,.588,1.9,5.3,7.2,2.4,1.4,1.6,2.3,2.7,15.6
501,Mike Bibby,206,/players/b/bibbymi01.html,30,79,79,34.7,5.5,12.7,.435,2.1,5.4,.390,3.4,7.3,.468,.518,1.7,2.2,.789,0.5,3.0,3.5,5.0,1.2,0.1,1.6,1.8,14.9
502,Marvin Williams,206,/players/w/willima02.html,22,61,59,34.3,4.7,10.2,.458,0.9,2.5,.355,3.8,7.7,.493,.502,3.6,4.5,.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,2.1,13.9
503,Al Horford,206,/players/h/horfoal01.html,22,67,67,33.5,4.7,8.9,.525,0.0,0.0,.000,4.7,8.9,.526,.525,2.2,3.1,.727,2.2,7.1,9.3,2.4,0.8,1.4,1.5,2.8,11.5
504,Ronald Murray,206,/players/m/murraro01.html,29,80,2,24.7,4.4,9.9,.447,1.1,3.0,.360,3.4,6.9,.485,.501,2.2,2.9,.760,0.3,1.8,2.1,2.0,1.1,0.2,1.6,2.2,12.2
